ID,Producto,Categoría,Precio_Sugerido_USD,Margen_Estimado
1,Auriculares Inalámbricos Pro,Electrónica,45.00,Alto
2,Botella de Agua Motivacional 2L,Hogar y Deporte,15.00,Medio
3,Lámpara de Escritorio LED con Carga Qi,Oficina,35.00,Medio
4,Set de Bandas de Resistencia,Fitness,20.00,Alto
5,Humidificador Ultrasónico,Hogar,25.00,Medio
6,Organizador de Cables de Viaje,Accesorios,12.00,Alto
7,Soporte Ergonómico para Laptop,Oficina,28.00,Medio
8,Cámara de Seguridad Wi-Fi 360,Tecnología,50.00,Medio
9,Kit de Cuidado de Barba,Belleza,22.00,Alto
10,Alfombrilla de Ratón XXL (Gaming),Electrónica,18.00,Medio